canonical_stable_id,canonical_channel_name,country,epg_provider,epg_id,epg_source_url,channel_number,category,subcategory,include
us:us-nbc-sports-network-2-feed-nbcsn-ytv,(US) NBC Sports Network 2 (Feed) (NBCSN) (YTV),US,EPGShare,nbc.sports.network.2.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
za:1kzn-tv,1KZN TV,South Africa,EPGShare,1.KZN.za,https://epgshare01.online/epgshare01/epg_ripper_ZA1.xml.gz,,General Entertainment,Free-to-Air,true
au:10-bold,10 Bold,AU,EPGShare,10Bold.au,https://epgshare01.online/epgshare01/epg_ripper_AU1.xml.gz,,General Entertainment,Entertainment,true
uk:4seven,4seven,UK,EPGShare,4seven.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Entertainment,true
us:5starmax,5StarMAX,US,EPGShare,5.star.max.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Movies,Movies & Series,true
uk:5select,5SELECT,UK,EPGShare,5SELECT.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Entertainment,true
uk:5star,5STAR,UK,EPGShare,5STAR.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Entertainment,true
au:7two,7TWO,AU,EPGShare,7two.au,https://epgshare01.online/epgshare01/epg_ripper_AU1.xml.gz,,General Entertainment,Lifestyle & Entertainment,true
au:9gem,9GEM,AU,EPGShare,9Gem.au,https://epgshare01.online/epgshare01/epg_ripper_AU1.xml.gz,,General Entertainment,Entertainment,true
au:9go,9GO,AU,EPGShare,9Go.au,https://epgshare01.online/epgshare01/epg_ripper_AU1.xml.gz,,General Entertainment,Entertainment,true
au:9life,9LIFE,AU,EPGShare,9Life.au,https://epgshare01.online/epgshare01/epg_ripper_AU1.xml.gz,,Lifestyle & Culture,Lifestyle,true
au:channel-9,Channel 9,AU,EPGShare,NineNetwork.au,https://epgshare01.online/epgshare01/epg_ripper_AU1.xml.gz,,General Entertainment,General,true
ca:a-side-tv,A Side TV,Canada,EPGShare,a.side.tv.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Music,Music,true
us:a-and-e,A&E,US,EPGShare,ae.us.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:abc-news-live,ABC News Live,US,EPGShare,abc.news.live.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
us:acc-network,ACC Network,US,EPGShare,acc.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:actionmax,ActionMAX,US,EPGShare,actionmax.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Movies,Movies & Series,true
us:adult-swim,Adult Swim,US,EPGShare,adult.swim.east.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
uk:alibi,alibi,UK,EPGShare,Alibi.ie,https://epgshare01.online/epgshare01/epg_ripper_IE1.xml.gz,,General Entertainment,Drama & Entertainment,true
us:altitude-sports,Altitude Sports,US,EPGShare,altitude.sports.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
ca:amc,AMC,Canada,EPGShare,amc.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Movies,Movies & Series,true
us:amc,AMC,US,EPGShare,amc.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Movies,Movies & Series,true
us:amc-presents,AMC Presents,US,EPGShare,amc.on.demand.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Movies,Movies & Series,true
us:amc-plus,AMC+,US,EPGShare,amc.plus.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Movies,Movies & Series,true
us:american-heroes,American Heroes,US,EPGShare,american.heroes.channel.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Documentary,Documentary / Factual,true
ca:american-heroes,American Heroes,Canada,EPGShare,american.heroes.channel.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,History,true
ca:animal-planet,Animal Planet,Canada,EPGShare,animal.planet.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,Animals & Nature,true
us:animal-planet,Animal Planet,US,EPGShare,animal.planet.us.east.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Documentary,Documentary / Factual,true
uk:animal-planet,Animal Planet,UK,EPGShare,Animal.Planet.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Animals & Nature,true
us:antenna-tv,Antenna TV,US,EPGShare,antenna.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
ca:aptn,APTN,Canada,EPGShare,aptn.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Indigenous / General,true
us:aspire,Aspire,US,EPGShare,aspire.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:at-home-with-family-handyman,At Home with Family Handyman,US,EPGShare,at.home.with.family.handyman.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Lifestyle & Culture,Lifestyle,true
ca:atn-cricket-plus,ATN Cricket Plus,Canada,EPGShare,atn.cricket.plus.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Sports,Cricket,true
us:awe,AWE,US,EPGShare,awe.tv.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:axs-tv,AXS TV,US,EPGShare,axs.tv.usa.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:babyfirst,BabyFirst,US,EPGShare,baby.first.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
us:babytv,BabyTV,US,EPGShare,baby.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
uk:bbc-one,BBC One,UK,EPGShare,BBC.One.Lon.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Free-to-Air,true
uk:bbc-two,BBC Two,UK,EPGShare,BBC.Two.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Free-to-Air,true
uk:bbc-four,BBC Four,UK,EPGShare,BBC.Four.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Culture & Arts,true
us:bbc-america,BBC America,US,EPGShare,bbc.america.east.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
ca:bbc-earth,BBC Earth,Canada,EPGShare,bbc.earth.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,Science & Nature,true
ca:bbc-first,BBC First,Canada,EPGShare,bbc.first.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Drama & Entertainment,true
uk:bbc-news,BBC News,UK,EPGShare,BBC.NEWS.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,News & Business,News,true
uk:bbc-three,BBC Three,UK,EPGShare,BBC.Three.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Entertainment,true
us:bbc-world-north-america,BBC World North America,US,EPGShare,bbc.world.north.america.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:bein-sports-1,beIN SPORTS 1,US,EPGShare,bein.sports.1.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bein-sports-4,beIN SPORTS 4,US,EPGShare,bein.sports.4.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bein-sports-5,beIN SPORTS 5,US,EPGShare,bein.sports.5.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bein-sports-6,beIN SPORTS 6,US,EPGShare,bein.sports.6.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bein-sports-7,beIN SPORTS 7,US,EPGShare,bein.sports.7.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bein-sports-8,beIN SPORTS 8,US,EPGShare,bein.sports.8.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bein-sports-liga,beIN SPORTS LIGA,US,EPGShare,bein.sports.liga.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bein-sports-xtra,beIN SPORTS Xtra,US,EPGShare,bein.sports.xtra.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:bet,BET,US,EPGShare,bet.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:bet-gospel,BET Gospel,US,EPGShare,bet.gospel.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Religion,Religion,true
us:bet-her,BET Her,US,EPGShare,bet.her.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:bet-jams,BET Jams,US,EPGShare,bet.jams.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Music,Music,true
us:bet-soul,BET Soul,US,EPGShare,bet.soul.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Music,Music,true
us:big-brother-us-1,Big Brother US 1,US,EPGShare,big.brother.1.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:big-brother-us-2,Big Brother US 2,US,EPGShare,big.brother.2.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:big-brother-us-3,Big Brother US 3,US,EPGShare,big.brother.3.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:big-brother-us-4,Big Brother US 4,US,EPGShare,big.brother.4.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:big-brother-us-quad-view,Big Brother US Quad View,US,EPGShare,big.brother.quad.view.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:big-ten-network,Big Ten Network,US,EPGShare,big.ten.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:billiard-tv,Billiard TV,US,EPGShare,billiard.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
us:black-news-channel,Black News Channel,US,EPGShare,black.news.channel.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
uk:blaze,BLAZE,UK,EPGShare,BLAZE.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Factual & Reality,true
uk:bloomberg,Bloomberg,UK,EPGShare,Bloomberg.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,News & Business,Business & Finance,true
us:bloomberg-television,Bloomberg Television,US,EPGShare,bloomberg.tv.usa.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
us:boomerang,Boomerang,US,EPGShare,boomerang.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
uk:boomerang,Boomerang,UK,EPGShare,Boomerang.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Kids & Teen,Kids,true
us:bounce,Bounce,US,EPGShare,bounce.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
ca:bravo,Bravo,Canada,EPGShare,bravo.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Entertainment,true
us:bravo,Bravo,US,EPGShare,bravo.usa.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:buzzr,BUZZR,US,EPGShare,buzzr.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:caracol-internacional,Caracol Internacional,US,EPGShare,caracol.international.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,International,Spanish / International,true
us:cartoon-network,Cartoon Network,US,EPGShare,cartoon.network.usa.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
ca:cartoon-network,Cartoon Network,Canada,EPGShare,cartoon.network.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Kids & Teen,Kids,true
uk:cartoon-network,Cartoon Network,UK,EPGShare,Cartoon.Net.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Kids & Teen,Kids,true
uk:cartoonito,Cartoonito,UK,EPGShare,Cartoonito.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Kids & Teen,Kids,true
uk:cbbc,CBBC,UK,EPGShare,CBBC.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Kids & Teen,Kids,true
uk:cbeebies,CBeebies,UK,EPGShare,CBeebies.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Kids & Teen,Kids,true
uk:cbs-drama,CBS Drama,UK,EPGShare,CBS.Justice.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Drama,true
us:cbs,CBS,US,EPGShare,cbs.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
